percent,state,county
1.4,21,091
5.3,21,159
11.5,21,093
0.5,21,149
0.9,21,183
0.2,21,197
4.1,21,233
6.6,21,033
0.7,21,045
21.2,21,047
1.0,21,085
2.9,21,103
6.4,21,107
0.1,21,109
0.9,21,125
0.6,21,157
3.4,21,163
2.9,21,173
1.3,21,181
3.7,21,185
1.6,21,187
0.1,21,203
4.8,21,209
9.0,21,227
1.5,21,003
7.1,21,017
2.6,21,019
0.8,21,029
1.2,21,055
14.4,21,067
25.0,21,075
0.5,21,115
0.1,21,165
3.3,21,175
1.1,21,193
0.1,21,237
3.4,21,051
2.9,21,013
1.1,21,025
4.4,21,083
4.2,21,099
2.3,21,231
7.4,21,155
8.7,21,221
3.1,21,015
0.1,21,131
1.2,21,121
0.6,21,127
0.7,21,139
0.9,21,195
6.3,21,211
2.5,21,005
1.8,21,027
9.5,21,073
4.5,21,117
4.3,21,151
0.0,21,153
1.4,21,189
9.9,21,213
3.9,21,217
8.0,21,219
1.3,21,039
0.4,21,053
1.8,21,077
1.1,21,079
1.6,21,069
3.2,21,037
14.8,22,113
26.5,22,089
41.1,22,029
54.5,22,107
49.7,22,093
16.7,22,043
26.8,22,051
43.0,22,013
22.3,22,015
4.2,22,023
44.0,22,037
55.7,22,095
20.5,22,075
37.5,22,073
31.8,22,079
30.1,22,117
41.1,22,097
29.6,22,105
17.8,22,001
31.2,22,101
16.1,22,123
11.8,22,103
24.9,22,111
16.7,22,021
48.9,22,017
69.9,22,035
21.8,22,005
25.9,22,055
31.7,22,045
22.9,22,087
54.0,22,091
39.9,22,121
35.7,22,031
39.0,22,081
6.0,22,063
40.5,22,069
59.7,22,071
32.4,22,025
24.9,22,019
33.0,22,041
30.0,22,007
30.0,22,049
35.6,22,083
29.3,22,099
31.6,22,127
45.9,22,033
19.0,22,003
63.6,22,065
0.4,23,017
0.6,23,027
0.9,23,019
2.1,23,001
1.0,23,003
2.9,23,005
0.6,23,013
0.9,23,031
0.3,23,007
0.6,23,025
13.1,24,047
62.5,24,510
11.0,24,041
13.6,24,025
18.7,24,027
16.5,24,003
28.4,24,005
11.8,24,009
0.8,24,023
18.2,24,031
3.4,24,013
